"","Sample","Measure","Value","ID","Core.Label","Plant.Bag","Site","Quad","Depth..m.","Date","group_16s"
"1","518514","Observed",515,518514,"2","M3","PH",3,0.6,"6/23/2025","groupA"
"2","518515","Observed",515,518515,"3","M1","PH",1,0.65,"6/23/2025","groupA"
"3","518517","Observed",515,518517,"5","M5","PH",5,0.5,"6/23/2025","groupA"
"4","518524","Observed",515,518524,"13","M12","FishPed",9,1.1,"6/24/2025","groupA"
"5","518526","Observed",515,518526,"19","M14","FishPed",7,1.1,"6/24/2025","groupA"
"6","518528","Observed",515,518528,"14","M16","FishPed",5,1.1,"6/24/2025","groupA"
"7","518535","Observed",515,518535,"31","M26","PJ",9,0.5,"6/25/2025","groupA"
"8","518540","Observed",515,518540,"12","M31","PJ",1,1,"6/25/2025","groupA"
"9","518542","Observed",515,518542,"30","unlabelled","PJ",5,0.75,"6/25/2025","groupA"
"10","518545","Observed",515,518545,"38","M37","CresB",3,1,"6/26/2025","groupB"
"11","518547","Observed",515,518547,"39","M39","CresB",5,0.85,"6/26/2025","groupB"
"12","518549","Observed",515,518549,"42","M41","CresB",7,1,"6/26/2025","groupB"
"13","518555","Observed",515,518555,"35","M47","L3F",3,0.85,"6/27/2025","groupB"
"14","518557","Observed",515,518557,"49","M89","L3F",5,0.8,"6/27/2025","groupB"
"15","518559","Observed",515,518559,"51","M50","L3F",7,0.8,"6/27/2025","groupB"
"16","518563","Observed",515,518563,"59","M55","CblSH",1,1.3,"6/30/2025","groupD"
"17","518565","Observed",515,518565,"62","M61","CblSH",5,1.1,"6/30/2025","groupD"
"18","518567","Observed",515,518567,"67","M58","CblSH",9,1.1,"6/30/2025","groupD"
"19","518568","Observed",515,518568,"33","M66","CblD",1,3.2,"6/30/2025","groupD"
"20","518570","Observed",515,518570,"36","M70","CblD",5,3.4,"6/30/2025","groupD"
"21","518571","Observed",515,518571,"34","M72","CblD",7,3.4,"6/30/2025","groupD"
"22","518585","Observed",515,518585,"77","M105","Crch",3,3.35,"7/2/2025","groupD"
"23","518587","Observed",515,518587,"76","M103","Crch",5,3.04,"7/2/2025","groupD"
"24","518591","Observed",515,518591,"83","M108","Crch",9,3.96,"7/2/2025","groupD"
"25","518595","Observed",515,518595,"78","M149","SambD",3,3,"7/3/2025","groupC"
"26","518597","Observed",515,518597,"72","M78","SambD",5,3.6,"7/3/2025","groupC"
"27","518601","Observed",515,518601,"84","M77","SambD",9,3.2,"7/3/2025","groupC"
"28","518605","Observed",515,518605,"95","M97","SambSH",3,2.2,"7/3/2025","groupC"
"29","518607","Observed",515,518607,"93","M93","SambSH",5,2.1,"7/3/2025","groupC"
"30","518609","Observed",515,518609,"96","M91","SambSH",7,2.1,"7/3/2025","groupC"
"31","518615","Observed",515,518615,"103","M84","SacrD",3,3.2,"7/4/2025","groupD"
"32","518617","Observed",515,518617,"102","M112","SacrD",5,3.1,"7/4/2025","groupD"
"33","518619","Observed",515,518619,"100","M86","SacrD",7,3.1,"7/4/2025","groupD"
"34","518623","Observed",515,518623,"114","M118","SacrSH",1,1.5,"7/7/2025","groupD"
"35","518627","Observed",515,518627,"118","M120","SacrSH",5,1.5,"7/7/2025","groupD"
"36","518629","Observed",515,518629,"119","M122","SacrSH",7,1.5,"7/7/2025","groupD"
"37","518633","Observed",515,518633,"121","M132","TH",1,1,"7/9/2025","groupC"
"38","518637","Observed",515,518637,"124","M129","TH",5,2.1,"7/9/2025","groupC"
"39","518641","Observed",515,518641,"129","M123","TH",9,3.2,"7/9/2025","groupC"
"40","518645","Observed",515,518645,"139","M133","PadH",3,4.6,"7/10/2025","groupC"
"41","518647","Observed",515,518647,"130","M136","PadH",5,5.5,"7/10/2025","groupC"
"42","518651","Observed",515,518651,"134","M139","PadH",9,5.8,"7/10/2025","groupC"
"43","518514","Chao1",515,518514,"2","M3","PH",3,0.6,"6/23/2025","groupA"
"44","518515","Chao1",515,518515,"3","M1","PH",1,0.65,"6/23/2025","groupA"
"45","518517","Chao1",515,518517,"5","M5","PH",5,0.5,"6/23/2025","groupA"
"46","518524","Chao1",515,518524,"13","M12","FishPed",9,1.1,"6/24/2025","groupA"
"47","518526","Chao1",515,518526,"19","M14","FishPed",7,1.1,"6/24/2025","groupA"
