"","Method","Num contigs","GC perc","Tax 16S","Disparity","Completeness","Contamination"
"Seagrass.metabat2.257.fa_sub.contigs","DAS",799,40.69,"",0.004,100,78.18
"Seagrass.concoct.387.fa_sub.contigs","DAS",766,33.91,"superkingdom:Archaea",0,100,24.18
"Seagrass.metabat2.347.fa.contigs","DAS",497,43.26,"superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfobacteria;order:Desulfobacterales;family:Desulfobacteraceae",0,100,8.23
"Seagrass.metabat2.57.fa_sub.contigs","DAS",1131,37.09,"",0.018,100,67.88
"Seagrass.concoct.270.fa.contigs","DAS",1694,57.07,"",0.03,100,51.57
"Seagrass.metabat2.131.fa_sub.contigs","DAS",584,69.46,"superkingdom:Bacteria;clade:Terrabacteria group;phylum:Actinomycetota;class:Actinomycetes;order:Actinomycetales",0.026,99.76,61.17
"Seagrass.concoct.313.fa_sub.contigs","DAS",1692,38.98,"",0.203,99.67,26.64
"Seagrass.concoct.225.fa.contigs","DAS",225,48.08,"superkingdom:Bacteria;clade:FCB group;clade:Bacteroidota/Chlorobiota group;phylum:Bacteroidota;class:Flavobacteriia;order:Flavobacteriales;family:Flavobacteriaceae;genus:Robiginitalea",0,99.22,1.86
"Seagrass.metabat2.195.fa_sub.contigs","DAS",290,37.58,"",0,99.01,63.2
"Seagrass.metabat2.431.fa_sub.contigs","DAS",583,62.55,"superkingdom:Bacteria",0,98.83,22.75
"Seagrass.metabat2.206.fa.contigs","DAS",270,45.17,"superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfobacteria;order:Desulfobacterales;family:Desulfobacteraceae",0.004,98.74,1.97
"Seagrass.metabat2.107.fa.contigs","DAS",41,34.53,"superkingdom:Bacteria|superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfuromonadia;order:Desulfuromonadales;family:Desulfuromonadaceae",0,97.98,0.27
"Seagrass.metabat2.263.fa_sub.contigs","DAS",904,55.26,"superkingdom:Bacteria;phylum:Pseudomonadota;class:Alphaproteobacteria;order:Rhodobacterales;family:Roseobacteraceae;genus:Sulfitobacter",0.057,97.71,61.58
"Seagrass.concoct.337.fa_sub.contigs","DAS",722,56.91,"",0.01,97.68,72.32
"Seagrass.concoct.303.fa.contigs","DAS",1410,47.89,"",0.006,97.49,9.97
"Seagrass.concoct.333.fa_sub.contigs","DAS",1175,49.88,"superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfobacteria;order:Desulfobacterales;family:Desulfobacteraceae",0.231,97.17,34.22
"Seagrass.concoct.389.fa_sub.contigs","DAS",1879,57.75,"",0.002,97.05,74.89
"Seagrass.concoct.170.fa_sub.contigs","DAS",4777,60.86,"",0.001,96.91,41.21
"Seagrass.concoct.330.fa_sub.contigs","DAS",384,46.88,"superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfobacteria;order:Desulfobacterales;family:Desulfobacteraceae",0,96.85,11.09
"Seagrass.metabat2.210.fa_sub.contigs","DAS",651,58.61,"",0.04,96.45,22.21
"Seagrass.concoct.241.fa_sub.contigs","DAS",2497,51.78,"superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria",0.021,96.45,37.87
"Seagrass.metabat2.369.fa_sub.contigs","DAS",395,45.96,"",0.034,96.33,10.14
"Seagrass.concoct.349.fa_sub.contigs","DAS",1596,57.23,"",0.005,96.29,47.53
"Seagrass.concoct.229.fa_sub.contigs","DAS",385,42.44,"superkingdom:Bacteria|superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria;order:Moraxellales;family:Moraxellaceae|superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria;order:Moraxellales;family:Moraxellaceae;genus:Psychrobacter|superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria;order:Thiotrichales;family:Piscirickettsiaceae;genus:Thiomicrospira",0.297,96.22,5.44
"Seagrass.metabat2.190.fa.contigs","DAS",610,47.51,"",0.002,96.2,6.77
