ID,Core Label,Plant Bag,Site,Quadrat,Depth (m),Date
518513,1,M2,PH,2,0.55,6/23/2025
518514,2,M3,PH,3,0.6,6/23/2025
518515,3,M1,PH,1,0.65,6/23/2025
518516,4,M4,PH,4,0.5,6/23/2025
518517,5,M5,PH,5,0.5,6/23/2025
518518,6,M9,PH,9,0.5,6/23/2025
518519,7,M10,PH,8,0.6,6/23/2025
518520,8,M6,PH,7,0.6,6/23/2025
518521,10,M8,PH,6,0.65,6/23/2025
518522,11,M7,PH,10,0.5,6/23/2025
518523,17,M11,FishPed,10,1.2,6/24/2025
518524,13,M12,FishPed,9,1.1,6/24/2025
518525,22,M13,FishPed,8,1.2,6/24/2025
518526,19,M14,FishPed,7,1.1,6/24/2025
518527,21,M15,FishPed,6,1.1,6/24/2025
518528,14,M16,FishPed,5,1.1,6/24/2025
518529,18,M17,FishPed,4,1.1,6/24/2025
518530,15,M18,FishPed,3,1.2,6/24/2025
518531,27,M19,FishPed,2,1.2,6/24/2025
518532,20,M20,FishPed,1,1.2,6/24/2025
518533,24,M33,PJ,2,0.95,6/25/2025
518534,26,M25,PJ,8,0.65,6/25/2025
518535,31,M26,PJ,9,0.5,6/25/2025
518536,28,M27,PJ,10,0.55,6/25/2025
518537,32,M28,PJ,7,0.6,6/25/2025
518538,23,M29,PJ,6,0.7,6/25/2025
518539,29,M30,PJ,4,0.8,6/25/2025
518540,12,M31,PJ,1,1,6/25/2025
518541,25,M32,PJ,3,0.85,6/25/2025
518542,30,unlabelled,PJ,5,0.75,6/25/2025
518543,41,M36,CresB,2,1,6/26/2025
518544,9,M35,CresB,1,1.05,6/26/2025
518545,38,M37,CresB,3,1,6/26/2025
518546,40,M38,CresB,4,1,6/26/2025
518547,39,M39,CresB,5,0.85,6/26/2025
518548,46,M40,CresB,6,1.1,6/26/2025
518549,42,M41,CresB,7,1,6/26/2025
518550,44,M42,CresB,8,1,6/26/2025
518551,45,M43,CresB,9,1.05,6/26/2025
518552,43,M44,CresB,10,1.1,6/26/2025
518553,48,M54,L3F,1,0.85,6/27/2025
518554,47,M46,L3F,2,0.85,6/27/2025
518555,35,M47,L3F,3,0.85,6/27/2025
518556,50,M45,L3F,4,0.85,6/27/2025
518557,49,M89,L3F,5,0.8,6/27/2025
518558,53,M52,L3F,6,0.75,6/27/2025
518559,51,M50,L3F,7,0.8,6/27/2025
518560,52,M53,L3F,8,0.8,6/27/2025
518561,55,M51,L3F,9,0.9,6/27/2025
518562,54,M49,L3F,10,1,6/27/2025
518563,59,M55,CblSH,1,1.3,6/30/2025
518565,62,M61,CblSH,5,1.1,6/30/2025
518566,65A,M60,CblSH,7,1.1,6/30/2025
518567,67,M58,CblSH,9,1.1,6/30/2025
518568,33,M66,CblD,1,3.2,6/30/2025
518569,57,M65,CblD,3,3.3,6/30/2025
518570,36,M70,CblD,5,3.4,6/30/2025
518571,34,M72,CblD,7,3.4,6/30/2025
518572,63,M69,CblD,9,3.8,6/30/2025
518573,61,M64,CblSH,2,1.2,6/30/2025
518574,66,M62,CblSH,4,1,6/30/2025
518576,37,M59,CblSH,8,0,6/30/2025
518577,70A,M57,CblSH,10,1,6/30/2025
518578,58,M67,CblD,2,3,6/30/2025
518579,56,M74,CblD,4,3.5,6/30/2025
518580,16,M71,CblD,6,3.5,6/30/2025
518581,69,M68,CblD,8,3.9,6/30/2025
518582,68,M73,CblD,10,4,6/30/2025
518583,73,M107,Crch,1,2.74,7/2/2025
518584,71,M106,Crch,2,2.74,7/2/2025
518585,77,M105,Crch,3,3.35,7/2/2025
518586,79,M109,Crch,4,2.74,7/2/2025
518587,76,M103,Crch,5,3.04,7/2/2025
518588,75,M102,Crch,6,2.74,7/2/2025
518589,70B,M104,Crch,7,3.35,7/2/2025
518590,74,M110,Crch,8,3.65,7/2/2025
518591,83,M108,Crch,9,3.96,7/2/2025
518592,85,M101,Crch,10,3.35,7/2/2025
518593,82,M150,SambD,1,3.5,7/3/2025
518594,81,M80,SambD,7,2.4,7/3/2025
518595,78,M149,SambD,3,3,7/3/2025
518596,88,M79,SambD,4,3.5,7/3/2025
518597,72,M78,SambD,5,3.6,7/3/2025
518598,86,M75,SambD,6,3.3,7/3/2025
518599,87,M76,SambD,2,3.5,7/3/2025
518600,89,M148,SambD,8,3.5,7/3/2025
518601,84,M77,SambD,9,3.2,7/3/2025
518602,80,M146,SambD,10,3.8,7/3/2025
518604,60B,M99,SambSH,2,2.7,7/3/2025
518605,95,M97,SambSH,3,2.2,7/3/2025
518607,93,M93,SambSH,5,2.1,7/3/2025
518608,91,M92,SambSH,6,2.7,7/3/2025
518609,96,M91,SambSH,7,2.1,7/3/2025
