Sample	Total reads	Mapped reads	Mapping perc	Total bases
518514	56004378	42679642	76.21	8333879699
518515	42642034	31474700	73.81	6317436411
518517	41404048	29838668	72.07	6202596564
518524	45151032	31353154	69.44	6746923119
518526	56260124	39099919	69.50	8367698680
518528	45204778	30062130	66.50	6724204453
518535	47307576	35167988	74.34	7072921698
518540	59823262	47489748	79.38	8758307773
518542	61021810	45937704	75.28	9114320544
518545	60478084	47049778	77.80	9049966003
518547	53104066	42419193	79.88	7877044633
518549	70344406	55991424	79.60	10448149727
518555	52380006	37791678	72.15	7829946325
518557	50327690	37656210	74.82	7446899138
518559	51750484	38070243	73.56	7666993639
518563	53473716	38489933	71.98	7924932616
518565	59796894	43813180	73.27	8821453942
518567	44226404	31420266	71.04	6596032145
518568	51764678	37823969	73.07	7732187892
518570	54462356	39240686	72.05	8169662965
518571	61533942	46275466	75.20	9150502928
518585	50831208	35058858	68.97	7611207349
518587	51204986	37134511	72.52	7674064379
518591	57354564	41057640	71.59	8602991298
518595	59396824	45538658	76.67	8762894971
518597	57724672	40497961	70.16	8571905129
518601	61693094	47832979	77.53	9014717451
518605	57000252	42473216	74.51	8498065226
518607	50938940	36257977	71.18	7605676034
518609	45323650	31536447	69.58	6801886447
518615	42302324	29741419	70.31	6333665943
518617	48640014	34990307	71.94	7281665198
518619	58728834	42438595	72.26	8733939369
518623	47284748	33625199	71.11	7085001677
518627	49441390	35472259	71.75	7317506457
518629	49238552	36636082	74.41	7330013605
518633	50352206	34002096	67.53	7539964487
518637	44211106	30207374	68.33	6573306793
518641	50453122	38694886	76.69	7518147628
518645	40836476	26301718	64.41	6100569644
518647	47289174	32055633	67.79	7029635131
518651	42680040	27787237	65.11	6397843980
