sample	group
S518514	groupA
S518515	groupA
S518517	groupA
S518524	groupA
S518526	groupA
S518528	groupA
S518535	groupA
S518540	groupA
S518542	groupA
S518545	groupB
S518547	groupB
S518549	groupB
S518555	groupB
S518557	groupB
S518559	groupB
S518563	groupD
S518565	groupD
S518567	groupD
S518568	groupD
S518570	groupD
S518571	groupD
S518585	groupD
S518587	groupD
S518591	groupD
S518595	groupC
S518597	groupC
S518601	groupC
S518605	groupC
S518607	groupC
S518609	groupC
S518615	groupD
S518617	groupD
S518619	groupD
S518623	groupD
S518627	groupD
S518629	groupD
S518633	groupC
S518637	groupC
S518641	groupC
S518645	groupC
S518647	groupC
S518651	groupC
