"","Sample","Measure","Value","ID","Core.Label","Plant.Bag","Site","Quad","Depth..m.","Date","group_16s"
"1","518514","Observed",3061,518514,"2","M3","PH",3,0.6,"6/23/2025","groupA"
"2","518515","Observed",2986,518515,"3","M1","PH",1,0.65,"6/23/2025","groupA"
"3","518517","Observed",3009,518517,"5","M5","PH",5,0.5,"6/23/2025","groupA"
"4","518524","Observed",2989,518524,"13","M12","FishPed",9,1.1,"6/24/2025","groupA"
"5","518526","Observed",3064,518526,"19","M14","FishPed",7,1.1,"6/24/2025","groupA"
"6","518528","Observed",3004,518528,"14","M16","FishPed",5,1.1,"6/24/2025","groupA"
"7","518535","Observed",3083,518535,"31","M26","PJ",9,0.5,"6/25/2025","groupA"
"8","518540","Observed",3124,518540,"12","M31","PJ",1,1,"6/25/2025","groupA"
"9","518542","Observed",3140,518542,"30","unlabelled","PJ",5,0.75,"6/25/2025","groupA"
"10","518545","Observed",3103,518545,"38","M37","CresB",3,1,"6/26/2025","groupB"
"11","518547","Observed",3030,518547,"39","M39","CresB",5,0.85,"6/26/2025","groupB"
"12","518549","Observed",3106,518549,"42","M41","CresB",7,1,"6/26/2025","groupB"
"13","518555","Observed",3027,518555,"35","M47","L3F",3,0.85,"6/27/2025","groupB"
"14","518557","Observed",3001,518557,"49","M89","L3F",5,0.8,"6/27/2025","groupB"
"15","518559","Observed",3042,518559,"51","M50","L3F",7,0.8,"6/27/2025","groupB"
"16","518563","Observed",3172,518563,"59","M55","CblSH",1,1.3,"6/30/2025","groupD"
"17","518565","Observed",3181,518565,"62","M61","CblSH",5,1.1,"6/30/2025","groupD"
"18","518567","Observed",3121,518567,"67","M58","CblSH",9,1.1,"6/30/2025","groupD"
"19","518568","Observed",3060,518568,"33","M66","CblD",1,3.2,"6/30/2025","groupD"
"20","518570","Observed",3161,518570,"36","M70","CblD",5,3.4,"6/30/2025","groupD"
"21","518571","Observed",3213,518571,"34","M72","CblD",7,3.4,"6/30/2025","groupD"
"22","518585","Observed",3137,518585,"77","M105","Crch",3,3.35,"7/2/2025","groupD"
"23","518587","Observed",3116,518587,"76","M103","Crch",5,3.04,"7/2/2025","groupD"
"24","518591","Observed",3169,518591,"83","M108","Crch",9,3.96,"7/2/2025","groupD"
"25","518595","Observed",3054,518595,"78","M149","SambD",3,3,"7/3/2025","groupC"
"26","518597","Observed",3018,518597,"72","M78","SambD",5,3.6,"7/3/2025","groupC"
"27","518601","Observed",3088,518601,"84","M77","SambD",9,3.2,"7/3/2025","groupC"
"28","518605","Observed",3041,518605,"95","M97","SambSH",3,2.2,"7/3/2025","groupC"
"29","518607","Observed",3035,518607,"93","M93","SambSH",5,2.1,"7/3/2025","groupC"
"30","518609","Observed",3033,518609,"96","M91","SambSH",7,2.1,"7/3/2025","groupC"
"31","518615","Observed",3093,518615,"103","M84","SacrD",3,3.2,"7/4/2025","groupD"
"32","518617","Observed",3117,518617,"102","M112","SacrD",5,3.1,"7/4/2025","groupD"
"33","518619","Observed",3180,518619,"100","M86","SacrD",7,3.1,"7/4/2025","groupD"
